,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ECMWF-SEAS5.1,lead3,0.4086041482644438,0.4837482598579002,0.33408480499320053,0.10533601011512118,0.24274254206486703,0.05225005464280786,0.07591688795832614,0.17158146094715945,0.07178486584759541,0.03054082988260749,0.18542352512042137,0.5373935469098132
ECMWF-SEAS5.1,lead2,0.3754016103349873,0.47004917893402315,0.4215482462872049,0.11392139784085084,0.12812079111040714,0.1490818047152109,0.2338806395920637,-0.03072112474404425,0.0749946449070559,0.16134430847516473,0.28502816294662325,0.5346465658158315
ECMWF-SEAS5.1,lead1,0.43991026407155076,0.5213549648778041,0.3338217329207594,0.10819961548860402,0.18407797962833958,0.1599125982027471,0.08919428163031562,0.17240673615752702,0.200810996870789,0.2418621517889579,0.32542846450529345,0.34806384046639266
Météo France-System 8,lead3,0.28059579593502704,0.36710992741078186,0.19049524623993344,0.02077699479435942,0.050092541829492035,-0.03402861819040647,0.007521715378448477,0.2450588489114381,0.14120170968862902,0.1904416603389457,0.2902378065058842,0.5434893762474992
Météo France-System 8,lead2,0.3009210164409355,0.43719047665885136,0.40782854345189157,0.13960460265758995,0.16812618606882682,0.03721289146443197,0.20626082351986136,0.15290887924737948,0.08464711308263646,-0.019914581963680407,0.24557098872144573,0.4859153464893663
Météo France-System 8,lead1,0.32322940349281876,0.3948790709664347,0.21595304321335346,0.09171117558846015,0.18092243317641885,0.1267176148415834,0.061301536778807945,-0.08408575307561632,-0.05590899836498076,0.16721508243271635,0.13419403911013494,0.44400918188772187
Met Office-GloSea6.2,lead3,0.3929142171753385,0.40509070589566726,0.2786770643601219,0.035207037145124284,0.33512641258454284,0.10493126799305723,0.24110422489564795,0.20414514004085477,0.26216181136999267,0.25707547684386206,0.36044721073284003,0.4842633964935377
Met Office-GloSea6.2,lead2,0.44691476027601335,0.36289351473234605,0.46836922209966175,-0.0906972725819313,0.12811565985855353,0.0352493292455454,0.21926778383794662,-0.08077619208336309,0.09035699378813473,0.10083824543718788,0.41140351919254514,0.4433554870777273
Met Office-GloSea6.2,lead1,0.35352175409733216,0.4272564993164624,0.30363049463873815,0.180039766934936,0.047149746124171485,0.1593312106389499,0.1609838535627996,0.09484846478711842,0.2111344924652548,0.18025430160435513,0.4178550660439201,0.5721521563607241
DWD-GCFS2.1,lead3,0.4380091216854822,0.4379206857055789,0.2536650881684818,-0.023001423945113262,0.30369173019363943,0.11338538064199423,0.006585861784162606,0.11311958124548047,0.04411370796182422,0.3120745364845043,0.3659770271135578,0.4523607073294557
DWD-GCFS2.1,lead2,0.4187313454172808,0.4660826849390776,0.2832006908911163,0.06285103041856047,0.33465963964466733,0.09550596706051645,0.09158622885520792,0.1721934945879881,-0.09974043005521657,0.02738899526566719,0.31729204841747927,0.4159767930722757
DWD-GCFS2.1,lead1,0.4432658658166668,0.5206879944916694,0.4249279558025542,0.03850016058889992,0.24666313898441888,0.07752086300215441,0.2442816435079693,0.04956801756091562,0.11318629943681592,0.2674460838737691,0.273509167310175,0.438528946205568
CMCC-SPSv3.5,lead3,0.42850024183305857,0.4335697361591067,0.3660925183699006,0.26012434463375017,0.1359160323805187,0.14400662639859388,0.21220818166505334,0.09471634000999452,0.007638798736132406,0.12239405363957545,0.2953277778644023,0.4358455755708557
CMCC-SPSv3.5,lead2,0.4033045373347242,0.43332760008928656,0.37953495776921015,0.04201796835015026,0.27088977356967836,0.20055953736556384,0.1492894143330418,0.11828163673992159,0.09218652564833797,0.24788631244065928,0.2938240695351723,0.40641484097805297
CMCC-SPSv3.5,lead1,0.538267685990329,0.538843635005688,0.30617642014668683,0.16486821421074857,0.15810794896192576,0.2055949033894441,-0.0014964443113776459,0.20356391203044297,0.15105239156397313,0.24413774107326744,0.24711627620510054,0.466081223133837
NCEP-CFSv2,lead3,0.3757879189492575,0.33232173136533644,0.3219044511007371,0.026427361439527328,0.12743004247032608,0.11710496308082274,-0.04530546777999856,0.07098377552542687,0.03100517821905052,0.1565192420474536,0.2705671211759474,0.49530937515074236
NCEP-CFSv2,lead2,0.4290899742005512,0.43588469879335917,0.19622688204869848,0.01953614819955986,0.1457679102147349,0.06907393795703148,0.09646940329546695,0.24648357740231067,0.12422283786078611,0.05622098721497749,0.29691923450644037,0.5574631684545809
NCEP-CFSv2,lead1,0.3719389102290137,0.47384436884355935,0.266554632474568,0.0739355681502394,0.23184642161617758,0.07677962862105016,0.1056045129483284,0.13547398026138524,0.1405234405319284,0.21486058619748158,0.252085996150153,0.46550164838691566
JMA-CPS3,lead3,0.2228789214345743,0.359716571061893,0.13363297135751256,0.05495670302086451,0.2541399906306956,0.1522307052764473,0.18627810578401327,0.2235950138756711,0.071529962108632,0.08943810269311656,0.003750879742663352,0.3643540778622534
JMA-CPS3,lead2,0.21833124559664208,0.2861595194815226,0.16304831250195373,0.2156962833519948,0.06483572586816608,0.02799250146012072,0.16810186357251128,0.05867925007954601,0.055050193183894584,0.30929917735022916,0.2352814470974997,0.3645169799535914
JMA-CPS3,lead1,0.26002957093816215,0.24239044657395875,0.21443859569252094,0.15288245158488942,0.09953699958685029,0.1246710152504256,0.03499328143810468,0.1619538676058796,-0.012706779465013508,0.20615383581917718,0.13833099025562443,0.3943963069533468
ECCC-GEM5-NEMO,lead3,0.331112161268729,0.5172083037785385,0.26052017750071965,0.19045437964405895,0.1961495553902406,0.008155116354421949,0.1298244952892209,-0.03778855255742678,-0.057259945537931435,0.15568397550666085,-0.03424242875901655,0.22290542079114248
ECCC-GEM5-NEMO,lead2,0.150199151428501,0.3730055387336451,0.21047967752554844,0.06736851533499585,0.1540954578088717,-0.01626755436709756,0.06304319452426722,-0.006311218178393109,-0.036491194217853545,0.07839550346881473,0.22756320319115428,0.45219246853197853
ECCC-GEM5-NEMO,lead1,0.1875671089059959,0.4073686111411643,0.2452098338898081,0.15597679808577516,0.1977141109472594,-0.10831607084896905,0.20090049258514575,0.0990126661319739,-0.12456269332955179,0.1494766276533221,0.29089756099213093,0.4333247853712449
